ID,Team/team_id,First Name,Last Name,Num,Age,DOB,player/birth_city,player/sp,player/country,HT,Wt,S,Draft,Round,Overall,Rk,player/pos_id,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,Sh%,TOI,TOI/G,TOI/Sh,Shifts,Sh/G,Passes,Pa/60,FOW,FOL,FO%,HitsReceived,HitsRecieved/60,HitsGiven,HitsGiven/60,BlockedShots,Blocks/60,GiveAways,Giveaways/60,TakeAways,Takeaways/60,PIM,Minor,Major,Misconducts,Game Misconducts,Match,Grit,ShootOutShotsTaken,ShootoutGoals,SO%,1G,OTG,GWG,ENG,BHG,DeflG,SlapG,SnapG,TipG,WrapG,WristG,PenaltyShotGoals,PenaltyShotsTaken,PenaltyShot%,ShotDist,Crossbar,Post,OverNet,WideOfNet,Backhand,Deflected,Slap,Snap,Tipped,Wraparound,Wrist,1st Star,2nd Star,3rd Star,injury/Injury1,injury/Injury2,injury/Injury3,injury/Injury4,salary_Days,Salary,Cap Hit,Cap Cost,Bonuses
31,WSH,Jay,Beagle,83,30,10/16/85,Calgary,AB,CAN,75,210,R,,,,,RW,57,8,9,5,17,0,74,36,13,0.11,47935,14,42.7,1122,19.7,84,6.3,370,267,0.581,55,4.1,55,4.1,24,1.8,12,0.9,20,1.5,24,12,0,0,0,0,103,,, ,2,0,1,0,1,1,1,0,0,0,5,0,1,1,25,1,2,5,28,19,2,4,4,6,1,38,2,1,2,Lower body,Upper body,,,186,1.75,1.75,1.75,0
55,COL,Andrew,Bodnarchuk,41,27,7/11/88,Drumheller,AB,CAN,71,196,L,2006,5,128,,D,37,0,4,3,4,-7,9,5,19,0.00,27394,12.3,42.1,650,17.6,35,4.6,0,0,0,53,7,44,5.8,27,3.5,6,0.8,2,0.3,14,7,0,0,0,0,85,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.4,0,0,1,4,1,0,4,3,0,0,1,0,0,0,,,,,141,0.65,0.65,0.492,0
66,CGY,Lance,Bouma,17,25,3/25/90,Provost,AB,CAN,74,208,L,2008,3,78,,C,44,2,5,3,7,-6,49,17,17,0.04,31774,12,38.2,831,18.9,42,4.8,5,8,0.385,35,4,110,12.5,42,4.8,10,1.1,6,0.7,31,3,1,2,0,0,184,,, ,0,0,0,1,0,0,0,0,0,0,2,0,0,0,25,0,0,1,16,6,0,3,3,1,3,33,0,0,1,Oblique,Leg,,,186,2.1,2.2,2.2,0
68,CBJ,Rene,Bourque,18,34,12/10/81,Lac La Biche,AB,CAN,74,217,L,,,,,RW,49,3,5,1,8,-9,77,27,27,0.04,30703,10.4,42.8,717,14.6,15,1.8,3,6,0.333,46,5.4,82,9.6,19,2.2,8,0.9,16,1.9,38,14,0,1,0,0,139,,, ,0,0,0,1,0,0,0,1,1,0,1,0,0,0,28.4,0,1,3,23,14,1,6,23,5,4,24,0,0,0,Upper body,,,,186,2.5,3.333,3.333,0
69,STL,Jay,Bouwmeester,19,32,9/27/83,Edmonton,AB,CAN,76,212,L,2002,1,3,,D,72,3,16,7,19,-4,105,48,77,0.03,99853,23.1,46.6,2141,29.7,94,3.4,0,0,0,108,3.9,71,2.6,110,4,30,1.1,11,0.4,18,9,0,0,0,0,199,,, ,0,0,0,0,0,0,2,0,0,0,1,0,0,0,49.2,0,0,6,42,3,1,31,12,3,0,55,0,1,0,Upper body,,,,186,5.6,5.4,5.4,0
70,NYI,Johnny,Boychuk,55,32,1/19/84,Edmonton,AB,CAN,74,227,R,2002,2,61,,D,70,9,16,8,25,17,165,74,122,0.06,89741,21.4,51.8,1733,24.8,85,3.4,0,0,0,186,7.5,149,6,140,5.6,47,1.9,21,0.8,31,13,1,0,0,0,321,,, ,3,0,1,0,0,0,5,1,1,0,2,0,0,0,56.8,0,3,9,62,2,0,113,13,1,0,36,1,0,3,Upper body,,,,186,7.5,6,6,0
81,STL,Kyle,Brodziak,28,31,5/25/84,St. Paul,AB,CAN,74,212,R,2003,7,214,,C,76,7,4,2,11,-1,49,27,28,0.14,49271,10.8,38,1297,17.1,37,2.7,275,281,0.495,38,2.8,50,3.7,37,2.7,11,0.8,18,1.3,37,11,1,1,0,0,125,,, ,2,0,4,0,0,0,1,0,1,0,5,0,0,0,29.4,0,1,5,21,5,0,5,3,5,0,31,2,0,2,Undisclosed,,,,186,0.9,0.9,0.9,0
108,MTL,Daniel,Carr,43,24,11/1/91,Sherwood Park,AB,CAN,72,191,L,,,,Y,LW,23,6,3,0,9,0,39,22,15,0.15,16661,12.1,40,417,18.1,0,0,0,0,0,38,8.2,25,5.4,5,1.1,4,0.9,7,1.5,8,4,0,0,0,0,38,,, ,1,0,1,0,1,0,0,0,1,1,3,0,0,0,24,1,0,2,19,13,0,3,3,2,5,13,0,0,0,Lower body,,,,127,0.892,0.843,0.632,0.033
120,WSH,Jason,Chimera,25,36,5/2/79,Edmonton,AB,CAN,75,216,L,1997,5,121,,LW,82,20,20,14,40,0,165,39,49,0.12,69129,14.1,42.8,1614,19.7,141,7.3,8,20,0.286,79,4.1,103,5.4,13,0.7,32,1.7,15,0.8,22,11,0,0,0,0,138,,, ,5,0,3,2,1,3,0,2,5,0,9,0,0,0,28.7,0,5,1,33,17,5,17,24,16,1,85,4,2,2,,,,,186,2,2,2,0
121,ARI,Kyle,Chipchura,24,29,2/19/86,Westlock,AB,CAN,74,203,L,2004,1,18,,C,70,4,8,6,12,-10,47,17,23,0.09,42985,10.2,41.7,1030,14.7,90,7.5,88,80,0.524,87,7.3,73,6.1,13,1.1,16,1.3,25,2.1,38,9,4,0,0,0,128,,, ,0,0,1,0,0,0,0,1,0,0,3,0,0,0,27.2,0,0,1,16,5,0,1,5,2,0,34,1,0,0,,,,,186,0.95,0.875,0.875,0
